gender_place,first_name,last_name,age,age_advantage_event_points
1,Maggie,Mahota,25,100.0
2,Maddie,McDermott,25,90.9090909090909
4,Kitty,Earl-Torniainen,57,84.72727272727273
3,Molly,Watkins,34,81.81818181818181
5,Nikki,Norland,43,63.63636363636363
6,Lisa,Garretson,35,54.54545454545454
7,Molly,Gardner,26,45.45454545454546
8,Julia,Lavanger,31,36.36363636363637
9,Virginia,Wightman,31,27.27272727272727
10,Rebecca,Kolstad,27,20.0
11,Ingrid,Remak,41,20.0
999,Evi,DuPuis,999,20.0
999,Kira,Peterson,999,20.0
999,Megan,Olson,999,20.0
999,Sarah,Zuber,999,20.0
999,Julia,Eagles,999,20.0
999,Megan,Lundquist,999,20.0
999,Ekaterina,McHenry,999,20.0
999,Kira,Stolen,999,20.0
999,Kari,Bullard,999,20.0
999,Julia,Beck,999,20.0
999,Stacey,Kindelan,999,20.0
999,Jessica,Kozarek,999,20.0
999,Lucia,Arneson,999,20.0
999,Melissa,Najarian,999,20.0
999,Katya,Gordon,999,20.0
999,Molly,Oace,999,20.0
999,Megan,Sisson,999,20.0
999,Zanna,Turman,999,20.0
999,Patty,Lee,999,20.0
999,Jessica,Roschlan,999,20.0
999,Audrey,Woychick,999,20.0
999,Kara,Greshwalk,999,20.0
999,Marilea,Browne,999,20.0
999,AJ,May Ostlund,999,20.0
999,Katia,Nartovich,999,20.0
999,Taylor,Scheele,999,20.0
