gender_place,first_name,last_name,age,age_advantage_event_points
1,Sarah,Widder,40,100.0
6,Kitty,Earl-Torniainen,58,98.29411764705883
2,Katrin,O'Grady,28,97.05882352941177
3,Julia,Reich,33,94.11764705882352
4,Laura,Cattaneo,30,91.17647058823529
5,Nicole,Cueno,46,89.23529411764706
10,Mary,McKelvey,57,85.52941176470588
7,Silja,Earl-Torniainen,21,82.35294117647058
8,Allie,Rykken,37,79.41176470588236
9,Emily,Flynn,44,76.47058823529412
11,Annika,Ferber Pasch,35,70.58823529411764
12,Michelle,Hatch,29,67.64705882352942
13,Celeste,Kiewel,43,64.70588235294117
14,Eva,Reinicke,40,61.76470588235294
15,Rebecca,Kolstad,28,58.82352941176471
16,Alissa,Johnson,31,55.88235294117647
17,Adrienne,Keller,41,52.94117647058824
18,Kaitsy,Baker,25,50.0
19,Daisy,Richmond,28,47.05882352941176
23,Julie,Rieth,54,44.29411764705882
20,Daria,Terenteva,30,44.11764705882353
34,Jacqueline,Melgard,69,44.0
21,Sarah,Richter,44,41.17647058823529
22,Molly,Schaus,39,38.23529411764706
24,Stacey,Kindelan,33,32.35294117647059
25,Lynn,Duijndam,34,29.411764705882348
26,Julie,Garretson,35,26.470588235294112
27,Megan,Lenz,31,23.529411764705888
28,Kathryn,Brown,38,20.588235294117652
29,Cara,Battles,45,20.0
30,Jennifer,Rolfes,33,20.0
31,Saylor,Landrum,21,20.0
32,Sarah,Wall,31,20.0
33,Kathryn,Pintar,31,20.0
