gender_place,first_name,last_name,age,age_advantage_event_points
1,Chelsey,Youngberg,32,100.0
2,Vivian,Johnson,27,92.85714285714286
3,Laura,Cattaneo,32,85.71428571428572
4,Ketzel,Levens,27,78.57142857142857
7,Kelly,Skillicorn,62,74.14285714285714
5,Shelby,Suhr,22,71.42857142857143
6,Julia,Lavanger,32,64.28571428571428
11,Kathy,Cook-Dowd,67,50.57142857142857
8,Maddie,Mcdermott,27,50.0
9,Sarah,Newmister,42,42.85714285714286
10,Rosemary,Elenbaas,18,35.71428571428571
14,Sara,Wells,57,32.0
12,Lianna,Miller,42,21.42857142857143
13,Liz,Mandeville,37,20.0
999,Hanna,Torvi,999,20.0
999,Nicole,Eliasson,999,20.0
999,Katrin,O'Grady,999,20.0
999,Karen,Jones,999,20.0
999,Karin,Rand,999,20.0
999,Emma,Spoon,999,20.0
999,Gabriella,Haire,999,20.0
999,Mira,Tomten,999,20.0
999,Jenna,Nelson,999,20.0
999,Abby,Mouch,999,20.0
999,Kristy,Mcbride,999,20.0
999,Leslie,O'Dell,999,20.0
999,Allix,Ice,999,20.0
999,Kate,Ullman,999,20.0
999,Kate,Griffin,999,20.0
999,Kari,Hedin,999,20.0
999,Molly,Macgregor,999,20.0
999,Caroline,Ray,999,20.0
999,Sarah,Konefal,999,20.0
999,Ivy,Houts,999,20.0
999,Emily,Nagel,999,20.0
999,Anna,Vanderhoef,999,20.0
999,Catherine,Lee,999,20.0
999,Ella,Gaylord,999,20.0
999,Stacy,Hess,999,20.0
999,Evelyn,Brodeur,999,20.0
999,Liz,Armstrong,999,20.0
999,Lynn,Marowske,999,20.0
999,Anna,Wild,999,20.0
999,Kelly,Trasti,999,20.0
999,John,Gillette,999,20.0
999,Amaeli,Kam-Magruder,999,20.0
999,Anne,Straka,999,20.0
999,Jena,Hauch,999,20.0
999,Stella,Meza,999,20.0
999,Emily,Nordahl,999,20.0
999,Elsa,Bergdahl,999,20.0
999,Greta,Hedman,999,20.0
999,Kira,Wolf,999,20.0
999,Hjelle,Personius,999,20.0
999,Phoebe,Helms,999,20.0
999,Grace,Chandler,999,20.0
999,Eleanor,Grossman,999,20.0
999,Emily,Jensen,999,20.0
999,Erin,Feldhausen,999,20.0
999,Maria,Horton,999,20.0
999,Jill,Kangas,999,20.0
999,Talon,Prusi,999,20.0
999,Brynn,Teter,999,20.0
999,Greta,Hansen,999,20.0
999,Liana,Teter,999,20.0
999,Kayleigh,Whipps,999,20.0
999,Sofia,Omann,999,20.0
999,Ellen,Klima,999,20.0
999,Isabelle,Mayer,999,20.0
999,Clara,Bartlett,999,20.0
999,Elaina,Jones,999,20.0
999,Lindsay,Vanmieghem,999,20.0
999,Augie,Witkowski,999,20.0
999,Abby,Savolt,999,20.0
999,Hannah,Sorensen,999,20.0
999,Alison,Umbarger,999,20.0
999,Laura,Johnson,999,20.0
999,Katherine,Christman,999,20.0
999,Aria,Peng,999,20.0
999,Amy,Marshall,999,20.0
999,Elise,Pudwill,999,20.0
999,Andrea,Carefoot,999,20.0
999,Ellie,Sin,999,20.0
999,Karen,Katz,999,20.0
999,Sarah,Hinck,999,20.0
999,Mari,Hegrenes,999,20.0
999,Emily,Hopke,999,20.0
999,Laurie,Padden,999,20.0
999,Jocelyn,Carr,999,20.0
999,Lauren,Loppnow,999,20.0
999,Savannah,Krull,999,20.0
999,Lily,Thatcher,999,20.0
999,Yao,Buchl,999,20.0
999,Bridget,Price,999,20.0
999,Allyson,Nafstad,999,20.0
999,Jillian,Lukez,999,20.0
999,Fiona,Metzo,999,20.0
999,Michele,Denoble,999,20.0
999,Elinor,Kandziora,999,20.0
999,Christine,Merkel,999,20.0
999,Maria,Hanson,999,20.0
999,Jacey,Kufahl,999,20.0
999,Kayla,Decker,999,20.0
