gender_place,first_name,last_name,age,age_advantage_event_points
1,Xavier,Mansfield,27,100.0
2,David,Ecker,27,98.93617021276596
3,Ian,Torchia,27,97.87234042553192
4,Joe,Thuente,22,96.80851063829788
5,Tryg,Solberg,27,95.74468085106383
6,Josh,Albrecht,27,94.68085106382979
7,Alexander,Gude,27,93.61702127659575
19,Piotr,Bednarski,57,92.85106382978724
8,Nathan,Bich,27,92.5531914893617
9,Daniel,Streinz,27,91.48936170212765
10,Eli,Rassler,32,90.42553191489363
11,Erich,Ziegler,42,89.36170212765957
12,Jacob,Dean,27,88.29787234042553
13,Sam,Shaheen,32,87.2340425531915
20,Ron,Omann,52,86.7872340425532
14,Benjamin,Bauer,22,86.17021276595744
15,Eric,Patterson,27,85.1063829787234
27,Christian,Byar,57,84.34042553191489
16,Chris,Frenier,37,84.04255319148936
28,John,Munger,57,83.27659574468085
17,Kristian,Johnson,27,82.97872340425532
18,Edward,Roe,22,81.91489361702128
26,Adam,Swank,52,80.40425531914893
36,Tom,Woody,62,79.7659574468085
21,Ian,Wright,32,78.72340425531915
22,Luke,Hedberg,42,77.65957446808511
23,Ryan,Harris,32,76.59574468085107
24,Michael,Symanski,27,75.53191489361703
25,Mikael,Kilpela,42,74.46808510638299
32,Brock,Lundberg,52,74.02127659574468
37,Troy,Kinnunen-Skidmore,57,73.70212765957447
43,Philip,Rogers,62,72.31914893617022
29,Alexander,Hulteen,22,70.2127659574468
30,Alexander,Gullickson,27,69.14893617021276
31,Will,Hagedorn,22,68.08510638297872
33,Logan,Smestad,37,65.95744680851064
35,Ben,Mullin,47,65.82978723404256
45,David,Grant,57,65.19148936170212
34,Nick,Petersen,27,64.8936170212766
46,Brad,Skillicorn,57,64.12765957446808
38,Peter,Hinck,42,60.63829787234043
39,Sean,Newmister,42,59.57446808510638
40,Mike,Drinane,42,58.51063829787234
41,David,Gould,32,57.446808510638306
42,Braxton,Hjelle,32,56.38297872340425
63,Thomas,Hardel,67,56.04255319148937
64,Ray,Johnston,67,54.97872340425532
55,Scott,Crowley,57,54.553191489361694
44,Nick,Thomas,27,54.255319148936174
47,Eli,Selinger,42,51.06382978723405
48,Isaac,Barnhill,27,50.0
49,Noah,Johnson,27,48.93617021276596
65,Kurt,Halverson,62,48.91489361702128
50,Alex,Popp,37,47.87234042553191
85,Gregory,Konieczny,72,47.0
89,Jerry,Gagner,72,47.0
51,Timothy,Kufahl,42,46.808510638297875
53,Jamon,Lamers,47,46.680851063829785
52,Stefan,Rhodehumphries,27,45.74468085106383
54,Hans,Gottsacker,37,43.61702127659575
70,Bradley,Wells,62,43.59574468085106
77,Eric,Dott,67,42.0
83,Bob,Ganson,67,42.0
84,Kevin,Schilling,67,42.0
87,Bill,Pilling,67,42.0
91,Rick,Neier,67,42.0
56,Luke,Holtan,42,41.48936170212766
57,Kaelan,Anderson,32,40.42553191489362
73,Andrew,Goyke,62,40.40425531914894
58,Elliot,Prusi,27,39.36170212765957
59,Jonah,Hudson-Erdman,27,38.297872340425535
60,Jeff,Osterberg,42,37.23404255319149
78,Kip,Knight,62,37.0
61,Braden,Hubert,22,36.170212765957444
62,Ethan,Hall,27,35.1063829787234
74,Mike,Clark,57,34.3404255319149
71,Johan,Ragner,52,32.53191489361703
67,Barry,Buhr,47,31.78723404255319
66,Seth,Polfus,27,30.85106382978723
68,Soren,Wicker,22,28.723404255319153
69,Gary,Wurtz,32,27.6595744680851
79,Henry,Carbone,52,27.0
81,Patrick,Toft,52,27.0
94,Doug,Finn Iii,52,27.0
72,Doug,Sirrine,37,24.468085106382976
75,Jason,Lee,47,23.276595744680847
86,Ben,Fornear,47,22.0
88,Zachary,Schroeder,47,22.0
76,Timothy,Martin,42,20.21276595744681
80,Zachary,Fix,37,20.0
82,Sebastian,Stankiewicz,32,20.0
90,Mateusz,Wozniak,16,20.0
92,Andrew,Rose,27,20.0
93,Charles,Dobry,27,20.0
999,Mitchell,Campbell,999,20.0
999,Conner,Nilsen,999,20.0
999,Marc,Ellingson,999,20.0
999,Chris,Queitzsch,999,20.0
999,Johnny,Nemeth,999,20.0
999,Nathan,Orf,999,20.0
999,Luke,Kubasta,999,20.0
999,Jes,Pedersen,999,20.0
999,Ben,Senkerik,999,20.0
999,Zachary,Nelson,999,20.0
999,Paul,Kyostia,999,20.0
999,Wyatt,Behrends,999,20.0
999,Adam,Himes,999,20.0
999,Douglas,Shield,999,20.0
999,Paul,Cigan,999,20.0
999,Sam,O'Donnell-Hoff,999,20.0
999,Shane,Steele,999,20.0
999,Ben,Nemeth,999,20.0
999,Sean,Merewood,999,20.0
999,Simon,Peterson,999,20.0
999,Caleb,Bey,999,20.0
999,Chad,Sova,999,20.0
