gender_place,first_name,last_name,age,age_advantage_event_points
1,Mitchell,Campbell,30,100.0
5,Andrew,Schakel,50,99.11764705882352
2,Ryan,Rogers,30,98.52941176470588
3,Josh,Albrecht,30,97.05882352941177
4,Ian,Wright,30,95.58823529411765
6,Douglas,Shield,30,92.64705882352942
10,Ron,Omann,50,91.76470588235294
7,Craig,Cardinal,40,91.17647058823529
8,Louis,Sirota,40,89.70588235294117
9,Logan,Smestad,40,88.23529411764706
11,Michael,Torchia,40,85.29411764705883
12,Jack,Larsen,17,83.82352941176471
29,David,Knoop,70,83.82352941176471
13,George,Sponholz,17,82.35294117647058
17,Artie,Huber,50,81.47058823529412
14,Tyber,Augustine,17,80.88235294117648
15,Sam,Nelson,30,79.41176470588236
16,Hans,Bettendorf,14,77.94117647058823
18,Michael,Garlinghouse,40,75.0
19,Christopher,Frenier,40,73.52941176470588
20,Kaden,Osmundson,17,72.05882352941177
21,Walter,Holmes,22,70.58823529411764
22,Ryan,Soule,30,69.11764705882352
23,Owen,Robertson,17,67.64705882352942
24,Taite,Knapp,17,66.17647058823529
25,Erik,Pieh,40,64.70588235294117
26,Nole,Robertson,22,63.23529411764706
27,Jonas,Klicker,17,61.76470588235294
28,Jerry,Kaercher,22,60.29411764705883
30,Mike,Fleming,30,57.35294117647059
31,Erik,Gischia,17,55.88235294117647
32,Kai,Earl-Torniainen,17,54.41176470588236
33,Jarrod,Lucca,40,52.94117647058824
34,Leif,Cavitt,14,51.470588235294116
35,Zethan,Schultz,22,50.0
39,Ben,Robertson,50,49.11764705882353
46,Paul,Earl-Torniainen,60,48.82352941176471
36,Juhani,Mahonen,14,48.529411764705884
37,John,Thompson,30,47.05882352941176
38,Ryan,Murr,30,45.58823529411765
67,Steve,Hagedorn,70,45.0
50,Olav,Ormseth,60,42.94117647058823
40,Liam,Fife,30,42.64705882352941
41,Truman,Shapansky,17,41.17647058823529
45,Mark,Sponholz,50,40.29411764705882
42,Oscar,Thompson,17,39.70588235294118
53,Dave,Witschen,60,38.529411764705884
43,Tucker,Henkes,22,38.23529411764706
44,Oliver,Thorson,22,36.76470588235294
48,Jed,Friedrich,50,35.88235294117647
56,Tim,Salo,60,35.0
66,Sam,Kokkinen,60,35.0
49,Bob,Mckenzie,50,34.41176470588235
47,Daniel,Kueffer,40,32.35294117647059
51,Anthony,Hubbartt,17,26.470588235294112
52,Adrian,Rausch,17,25.0
64,Ross,Menk,50,25.0
54,Isaac,Boesen,17,22.058823529411764
55,Bryce,Crotteau,14,20.588235294117652
57,Kolsen,Papon,22,20.0
58,Mackean,Haines,14,20.0
59,Tor,Skadberg,14,20.0
60,Kaegan,Museus,17,20.0
61,Bradley,Cousins,40,20.0
62,Mitchell,Neumann,22,20.0
63,Kaden,Aguilar,17,20.0
65,Arthur,Hickman,14,20.0
68,Mark,Hickman,40,20.0
999,Russell,Hill,999,20.0
999,Piotr,Bednarski,999,20.0
999,Erik,Hendrickson,999,20.0
999,Thomas,Krenz,999,20.0
999,Peter,Knoll,999,20.0
999,Lee,Evans,999,20.0
999,Jason,Evans,999,20.0
999,Dave,Grosshuesch,999,20.0
999,Steve,Chiodo,999,20.0
999,Don,Galloway,999,20.0
999,Robert,Ogren,999,20.0
999,Kevin,Olson,999,20.0
999,Jim,Williams,999,20.0
999,van,Conrad,999,20.0
999,Gary,Fruland,999,20.0
999,Sam,Holt,999,20.0
999,Andrew,Tilman,999,20.0
999,Ryan,Sederquist,999,20.0
999,Murray,Carter,999,20.0
999,Nick,Thomas,999,20.0
999,Kendall,Hill,999,20.0
999,Ben,Larson,999,20.0
999,Micah,Turman,999,20.0
999,Pete,Dahlquist,999,20.0
999,Max,Fisher,999,20.0
999,Sam,Shaheen,999,20.0
999,Nick,Ross,999,20.0
999,Chris,Queitzsch,999,20.0
999,Anders,Sonnesyn,999,20.0
999,Matthew,Allen,999,20.0
999,Zachary,Nelson,999,20.0
999,Sergei,Viskovatykh,999,20.0
999,Noel,Johnson,999,20.0
999,David,Ronnevik,999,20.0
999,Matthew,Bischof,999,20.0
999,Ryan,Hebert,999,20.0
999,Nathaniel,Tollefson,999,20.0
999,Fred,Kueffer,999,20.0
999,Steve,Sonnesyn,999,20.0
999,Will,Tremaine,999,20.0
999,Sam,Theisen,999,20.0
999,James,Brand,999,20.0
999,Nathaniel,Bateman,999,20.0
999,Henry,Slater,999,20.0
999,Blaze,Fugina,999,20.0
999,Levi,Schwartzberg,999,20.0
999,Conner,Matschiner,999,20.0
999,Ari,Mahonen,999,20.0
999,Sam,Niemi,999,20.0
999,Eddie,Gurney,999,20.0
999,Carl,Norberg,999,20.0
999,Bennett,Pope,999,20.0
999,Jake,Rossman,999,20.0
999,Eric,Nordland,999,20.0
999,David,Patchin,999,20.0
999,Evan,Schneider,999,20.0
