gender_place,first_name,last_name,age,age_advantage_event_points
1,Petr,Kolaja,30,100.0
2,Sam,Holt,30,99.13793103448276
3,Adam,Witkowski,30,98.27586206896551
4,Andrew,Tilman,40,97.41379310344827
5,Joe,Thuente,21,96.55172413793103
6,Ryan,Rogers,30,95.6896551724138
7,Kai,Ludwig,40,94.82758620689656
13,Yaroslav,Perventsev,50,94.65517241379311
8,Nicholas,Youso,21,93.96551724137932
9,Eli,Rassler,30,93.10344827586206
10,Sam,Shaheen,30,92.24137931034483
11,Josh,Albrecht,30,91.37931034482759
17,Brock,Lundberg,50,91.20689655172413
12,Leif,Hanson,30,90.51724137931035
14,Craig,Cardinal,40,88.79310344827587
20,Brett,Arenz,50,88.62068965517241
15,Ian,Wright,30,87.93103448275862
21,Ron,Omann,50,87.75862068965517
33,Philip,Rogers,60,87.41379310344827
16,Karl,Holub,30,87.06896551724138
18,Andrej,Bendtsen,40,85.34482758620689
19,Hjalte,Paaske,30,84.48275862068965
37,Craig,Stolen,60,83.96551724137932
26,Zachary,Handler,50,83.44827586206897
22,Nate,Rhode,30,81.89655172413794
28,Artie,Huber,50,81.72413793103449
23,Shane,Steele,40,81.03448275862068
24,Sean,Heaton,30,80.17241379310344
42,Thomas,Ajax,60,79.65517241379311
54,Floyd,Reichel,70,79.3103448275862
25,Joseph,Altendahl,40,79.3103448275862
60,James,Agre,75,79.13793103448276
43,Kevin,Rogers,60,78.79310344827587
27,Micah,Mouser,21,77.58620689655173
45,Brad,Skillicorn,60,77.06896551724138
34,Ben,Larson,50,76.55172413793103
46,Bill,Mckinney,60,76.20689655172413
58,Thomas,Hardel,70,75.86206896551724
29,Elijah,Hallgren,21,75.86206896551724
47,Bill,Field,60,75.34482758620689
30,Zachariah,Pannkuk,30,75.0
31,Neil,Miller,40,74.13793103448276
49,David,Folland,60,73.62068965517241
32,Karl,Kroll,40,73.27586206896552
38,Michael,Hall,50,73.10344827586206
62,Gary,Maher,70,72.41379310344828
39,Ben,Mullin,50,72.24137931034483
35,Josh,Doebbert,40,70.6896551724138
36,Dave,Niday,40,69.82758620689656
55,Eric,Hedman,60,68.44827586206898
44,Brian,Markes,50,67.93103448275862
40,Devon,Byers,21,66.37931034482759
41,Erik,Pieh,40,65.51724137931035
61,Tim,Vitters,60,63.275862068965516
73,Steve,Chiodo,70,62.93103448275862
50,Judd,Palubicki,50,62.758620689655174
53,Matt,Hedman,50,60.172413793103445
65,Gill,Creel,60,59.827586206896555
48,Mike,Snell,40,59.48275862068966
67,Rick,Pike,60,58.103448275862064
51,Jake,Mcginnis,30,56.896551724137936
80,Tom,Raetz,70,56.896551724137936
57,Jacob,Kjome,50,56.72413793103448
69,Paul,Schoening,60,56.379310344827594
52,Leif,Ronnander,40,56.03448275862068
84,Tim,Holmstrom,70,53.44827586206896
56,Aaron,Winger,21,52.58620689655172
85,Mark,Berens,70,52.58620689655172
91,Peter,Dorsen,75,52.41379310344828
63,Devin,Arenz,50,51.55172413793104
64,Peter,Bauer,50,50.689655172413794
95,Timothy,Nelson,75,50.0
88,Michael,Kuhne,70,50.0
59,Justin,Eberhardt,40,50.0
112,Tom,Rowe,75,50.0
66,Adam,Burnett,50,48.96551724137932
78,Paul,Humpal,60,48.620689655172406
81,Chip,Gerdin,60,46.03448275862068
70,Eric,Waldron,50,45.51724137931034
109,Jason,Lamppa,70,45.0
107,David,Byrne,70,45.0
83,Robert,Day,60,44.310344827586206
68,Ryan,Cramer,30,42.241379310344826
86,Tim,Gregory,60,41.72413793103449
71,Cole,Carlson,40,39.6551724137931
77,Jeff,Markes,50,39.48275862068966
72,Brent,Nistler,21,38.793103448275865
79,Ryan,Morris,50,37.758620689655174
74,Chris,Parr,30,37.06896551724138
92,Philip,Wandrei,60,36.55172413793104
75,Joseph,Dubay,40,36.206896551724135
93,Roger,Schmitz,60,35.689655172413794
76,Steven,Bakken,40,35.3448275862069
82,Daniel,Scheff,50,35.172413793103445
99,Randy,Brendal,60,35.0
103,Charlie,Baker,60,35.0
116,Paul,Rock,60,35.0
113,Mingrui,Zhang,60,35.0
98,Nils,Dybvig,60,35.0
106,Jim,Risendal,60,35.0
94,Douglas,Cran,60,35.0
114,Joern,Siepmann,60,35.0
87,Joseph,Schuster,50,30.86206896551724
