Name,Overall Place,Number of Events,Skadi's Chase Points,First Chance Points,City of Lakes Loppet Points,Total Points
Lisa Garretson,1,3,80.0,83.33,81.43,259.76
Allie Rykken,2,3,72.5,66.67,67.14,221.31
Caitlin Gregg,3,2,100.0,0.0,100.0,200.0
Julia Harrison,4,2,0.0,100.0,88.57,188.57
Laura Cattaneo,5,2,92.5,0.0,92.86,185.36
Elena Cattaneo,6,2,90.0,0.0,85.71,175.71
Julie Garretson,7,2,67.5,0.0,70.0,137.5
Shari Matzelle,8,3,29.5,42.83,29.5,116.83
Ingrid Leask,9,2,55.0,0.0,47.14,102.14
Jenna Nelson,10,2,57.5,0.0,41.43,98.93
Julie Ensrud,11,1,0.0,0.0,98.57,98.57
Gabby Vandendries,12,1,97.5,0.0,0.0,97.5
Helen Townley,13,1,0.0,0.0,97.14,97.14
Gabrielle Vandendries,14,1,0.0,0.0,95.71,95.71
Siri Stolen,15,1,95.0,0.0,0.0,95.0
Audrey Parham,16,1,0.0,0.0,94.29,94.29
Lindsay Williams,17,1,0.0,0.0,91.43,91.43
Jan Guenther,18,1,0.0,0.0,90.57,90.57
Sarah Widder,19,1,0.0,0.0,90.0,90.0
Kitty Earl-Torniainen,20,1,0.0,0.0,88.0,88.0
Jennie Sirota,21,2,47.5,0.0,40.0,87.5
Delaney Fitzpatrick,22,1,87.5,0.0,0.0,87.5
Christina Roberts,23,1,0.0,0.0,87.14,87.14
Linda Evert,24,2,0.0,57.5,27.5,85.0
Stephanie Lewis,25,1,85.0,0.0,0.0,85.0
Carly Wilson,26,1,0.0,0.0,84.29,84.29
Kelly Skillicorn,27,1,0.0,0.0,84.29,84.29
Jenny Beckman,28,1,0.0,0.0,82.86,82.86
Kathryn Pintar,29,1,82.5,0.0,0.0,82.5
Kim Hughes,30,1,0.0,0.0,79.36,79.36
Emily Flynn,31,1,78.5,0.0,0.0,78.5
Amy Oberbroeckling,32,1,0.0,0.0,77.14,77.14
Katrin O'Grady,33,1,0.0,0.0,75.71,75.71
Bailey Vanderwilde,34,1,75.0,0.0,0.0,75.0
Erika Saveraid,35,1,0.0,0.0,73.07,73.07
Katie Williams,36,1,0.0,0.0,71.43,71.43
Elspeth Ronnander,37,1,70.0,0.0,0.0,70.0
Angie Robinson,38,1,0.0,0.0,69.43,69.43
Alissa Johnson,39,1,0.0,0.0,65.71,65.71
Molly Watkins,40,1,65.0,0.0,0.0,65.0
Rachel Nelson,41,1,0.0,0.0,64.29,64.29
