Name,Overall Place,Number of Events,Skadi's Chase Points,First Chance Points,City of Lakes Loppet Points,Total Points
Louis Sirota,1,3,91.13,80.0,92.37,278.5
Adam Mahar,2,3,74.19,68.0,93.17,250.37
Matt Peterson,3,3,74.39,73.0,77.71,240.09
Matt Liebsch,4,2,100.0,0.0,100.0,200.0
Isaac Wieber,5,2,0.0,100.0,98.39,198.39
Brian Gregg,6,2,99.19,0.0,99.2,198.39
Sam Holt,7,2,97.58,0.0,97.99,195.57
Chris Queitzsch,8,2,95.97,0.0,94.38,190.35
Andrew Tilman,9,2,89.52,0.0,96.39,185.9
Andrew Twito,10,2,90.32,0.0,90.36,180.68
Anders Pesavento,11,2,86.79,0.0,88.85,175.64
Sam Nelson,12,2,79.03,0.0,91.16,170.2
Erik Hendrickson,13,2,82.26,84.0,0.0,166.26
Ron Omann,14,2,69.32,0.0,91.55,160.87
Zachary Nelson,15,2,91.94,0.0,62.25,154.18
Nathaniel Tollefson,16,2,69.79,0.0,81.19,150.98
Clayton Keim,17,2,64.52,0.0,84.74,149.26
Brock Lundberg,18,2,60.45,0.0,83.92,144.37
Fred Kueffer,19,2,0.0,58.0,83.12,141.12
Joseph Altendahl,20,2,58.26,0.0,76.1,134.36
Christopher Jopp,21,2,0.0,60.0,71.08,131.08
Steven Deckert,22,2,54.84,0.0,74.3,129.14
Anthony Hirschman,23,2,52.81,0.0,69.07,121.87
Ryan Soule,24,2,45.97,0.0,66.67,112.63
Steve Eberly,25,2,48.52,0.0,60.81,109.32
Joshua Doebbert,26,2,87.9,20.0,0.0,107.9
Caden Albrecht,27,1,0.0,0.0,99.6,99.6
David Joda,28,1,0.0,0.0,98.8,98.8
Andrew Schakel,29,1,0.0,0.0,98.48,98.48
Andrew Brown,30,1,98.39,0.0,0.0,98.39
Jakob Ellingson,31,1,0.0,0.0,97.59,97.59
Andy Schakel,32,1,97.24,0.0,0.0,97.24
Luc Golin,33,1,0.0,0.0,97.19,97.19
John Munger,34,1,0.0,0.0,96.96,96.96
Peter Coenen,35,1,0.0,0.0,96.79,96.79
McEwan Rodefeld,36,1,96.77,0.0,0.0,96.77
Blaze Fugina,37,2,34.68,0.0,61.85,96.52
Alex Reich,38,1,0.0,96.0,0.0,96.0
Adrian Swanson,39,1,0.0,0.0,95.98,95.98
Leo Kocher,40,1,0.0,0.0,95.58,95.58
Christopher Harvey,41,1,0.0,0.0,95.18,95.18
