Name,Overall Place,Number of Events,Skadi's Chase Points,Hiihto Relay Points,First Chance Points,LL Challenge Points,Mount Ashwabay Points,City of Lakes Loppet Points,Vasaloppet Points,Pepsi Challenge Points,Ski North Ultra Points,Series Points
Craig Cardinal,1,9,88.54,47.37,89.74,97.22,87.5,94.66,99.34,77.14,87.8,617.31
Louis Sirota,2,8,84.38,94.74,94.87,0.0,100.0,93.89,92.11,88.57,97.56,608.17
Ron Omann,3,9,58.17,60.53,88.62,83.63,76.92,91.02,91.5,84.0,74.73,575.68
Karl Holub,4,7,62.5,0.0,87.18,76.85,95.83,0.0,95.39,94.29,100.0,574.55
Adam Mahar,5,6,76.04,73.68,0.0,82.41,0.0,90.08,90.13,0.0,75.61,522.95
Joseph Altendahl,6,7,48.96,60.53,0.0,74.07,75.0,82.06,88.16,71.43,0.0,486.25
Craig Stolen,7,7,69.38,52.63,0.0,69.26,72.5,0.0,100.0,74.0,66.1,486.23
Ian Wright,8,5,72.92,0.0,0.0,86.11,89.58,0.0,94.08,91.43,0.0,449.12
Ben Mullin,9,6,46.88,57.89,76.92,0.0,58.33,0.0,81.63,66.86,0.0,423.51
Artie Huber,10,5,74.79,78.95,74.23,0.0,0.0,0.0,96.76,78.29,0.0,418.02
Ryan Rogers,11,5,91.67,97.37,0.0,0.0,0.0,89.31,20.0,100.0,0.0,413.35
Mitchell Campbell,12,4,0.0,97.37,100.0,0.0,97.92,96.95,0.0,0.0,0.0,407.23
Andrew Tilman,13,5,86.46,94.74,0.0,0.0,0.0,88.55,20.0,97.14,0.0,401.89
Piotr Bednarski,14,4,0.0,0.0,0.0,88.0,0.0,98.5,0.0,96.86,86.17,384.52
Sam Nelson,15,5,82.29,81.58,0.0,0.0,0.0,90.46,88.82,20.0,0.0,378.14
Matt Peterson,16,5,63.54,0.0,64.1,71.3,0.0,84.73,20.0,0.0,0.0,318.67
Paul Schoening,17,5,0.0,0.0,75.54,57.52,0.0,77.36,20.0,59.71,0.0,305.13
Xavier Mansfield,18,3,0.0,0.0,0.0,95.37,0.0,99.24,0.0,0.0,92.68,302.29
Michael Moulsoff,19,3,0.0,0.0,0.0,77.11,0.0,100.0,97.55,0.0,0.0,289.66
Spencer Davis,20,3,90.63,92.11,0.0,0.0,91.67,0.0,0.0,0.0,0.0,289.4
Jay Woodbeck,21,4,87.5,100.0,0.0,0.0,0.0,0.0,20.0,0.0,58.54,281.04
Andrej Bendtsen,22,4,0.0,63.16,0.0,84.26,0.0,88.93,20.0,0.0,0.0,271.35
Ryan Soule,23,4,0.0,0.0,0.0,67.59,0.0,81.68,80.26,20.0,0.0,264.54
Brock Lundberg,24,4,0.0,57.89,70.67,0.0,0.0,0.0,20.0,0.0,99.12,262.68
Jacob Kjome,25,4,52.83,0.0,58.97,0.0,0.0,63.49,71.76,0.0,0.0,262.06
David Joda,26,4,97.92,100.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,252.92
Erik Pieh,27,5,37.5,50.0,0.0,54.63,0.0,75.19,20.0,0.0,0.0,252.32
Erik Hendrickson,28,4,0.0,0.0,92.31,0.0,56.25,0.0,20.0,68.57,0.0,252.13
Chad Korby,29,4,0.0,28.95,71.79,57.41,0.0,77.86,0.0,0.0,0.0,251.01
McEwan Rodefeld,30,3,64.58,92.11,0.0,75.93,0.0,0.0,0.0,0.0,0.0,247.61
Chris Queitzsch,31,4,96.88,0.0,0.0,0.0,0.0,95.04,20.0,20.0,0.0,246.91
Denny Green,32,4,56.08,0.0,0.0,69.74,0.0,82.63,20.0,0.0,0.0,243.45
Brett Arenz,33,5,39.58,55.26,0.0,0.0,0.0,80.92,20.0,0.0,26.83,237.59
Erik Erickson,34,4,0.0,0.0,0.0,58.33,0.0,80.15,20.0,61.14,0.0,234.63
Anders Sonnesyn,35,3,95.83,0.0,0.0,0.0,0.0,98.09,0.0,20.0,0.0,228.92
Hans Harlane,36,3,0.0,0.0,0.0,60.19,0.0,79.77,73.03,0.0,0.0,227.98
Zachary Nelson,37,4,70.83,0.0,0.0,0.0,0.0,95.42,20.0,20.0,0.0,221.25
Andrew Kershaw,38,3,89.58,0.0,0.0,0.0,0.0,94.27,20.0,0.0,0.0,218.86
Dennis Curran,39,4,0.0,81.58,82.05,0.0,20.0,0.0,20.0,0.0,0.0,218.63
William Brunnquell,40,3,0.0,0.0,0.0,85.19,0.0,92.37,20.0,0.0,0.0,212.55
Thomas Kendrick,41,3,0.0,89.47,0.0,0.0,0.0,0.0,20.0,0.0,85.37,209.84
Emmett Donohue,42,3,0.0,0.0,0.0,89.81,81.25,0.0,20.0,0.0,0.0,206.06
Andrew Larson,43,3,56.25,0.0,0.0,50.93,0.0,0.0,82.89,0.0,0.0,205.07
Haakon Sigurslid,44,3,0.0,0.0,0.0,80.56,0.0,86.26,20.0,0.0,0.0,201.82
Mike Berkopec,45,3,0.0,0.0,0.0,45.7,0.0,70.05,69.92,0.0,0.0,200.68
Robert Rutscher,46,3,0.0,76.32,0.0,0.0,20.0,87.79,0.0,0.0,0.0,199.1
Paul Olson,47,2,0.0,0.0,97.44,0.0,0.0,0.0,100.0,0.0,0.0,197.44
Eli Andre,48,2,0.0,0.0,0.0,100.0,0.0,96.18,0.0,0.0,0.0,196.18
Daniel Gladkov,49,2,0.0,0.0,0.0,98.15,0.0,0.0,96.05,0.0,0.0,194.2
Erik Alfvin,50,3,0.0,21.05,0.0,73.15,0.0,83.97,0.0,0.0,0.0,193.17
Tait Myers,51,2,0.0,0.0,0.0,96.3,0.0,0.0,96.71,0.0,0.0,193.01
Tristan Van De Moortele,52,3,43.75,0.0,0.0,0.0,0.0,57.63,73.68,0.0,0.0,190.07
Joe Thuente,53,2,93.75,0.0,0.0,0.0,0.0,95.8,0.0,0.0,0.0,189.55
