Overall Place,Name,Number of Events,Series Points,Battle Creek Fifty K Points,Seeley Hills Classic Points,Riverview Loppet Points,Noquemanon Points,Mt. Ashwabay Summit Ski Race Points,City of Lakes Loppet Points,Vasaloppet USA Points,Finlandia Points,Pepsi Challenge Points
1,Laura Cattaneo,7,608.95,91.18,0.0,0.0,85.71,100.0,89.47,96.43,100.0,96.88
2,Kathryn Pintar,7,513.05,20.0,89.04,92.86,0.0,0.0,85.53,20.0,100.0,90.63
3,Julia Reich,5,450.61,94.12,0.0,78.57,0.0,95.65,82.89,0.0,0.0,84.38
4,Allie Rykken,5,413.67,79.41,95.89,57.14,0.0,73.91,0.0,0.0,92.31,0.0
5,Gabby Vandendries,4,411.05,0.0,100.0,0.0,0.0,0.0,96.05,100.0,0.0,100.0
6,Elspeth Ronnander,5,391.28,0.0,0.0,64.29,0.0,65.22,0.0,85.71,92.31,68.75
7,Sarah Widder,6,370.0,100.0,20.0,85.71,0.0,20.0,0.0,89.29,0.0,20.0
8,Beth Bernhardt,5,288.86,0.0,90.41,50.0,0.0,47.83,0.0,20.0,0.0,65.63
9,Chelsey Youngberg,5,275.0,0.0,20.0,0.0,100.0,0.0,100.0,20.0,0.0,20.0
10,Eva Reinicke,5,266.7,61.76,75.34,28.57,0.0,21.74,0.0,64.29,0.0,0.0
11,Molly Watkins,4,261.71,0.0,20.0,0.0,0.0,69.57,0.0,82.14,0.0,75.0
12,Julia Lavanger,3,255.05,0.0,93.15,0.0,64.29,82.61,0.0,0.0,0.0,0.0
13,Julie Garretson,5,247.42,26.47,94.52,0.0,0.0,0.0,20.0,71.43,0.0,20.0
14,Katrin O'Grady,4,240.22,97.06,0.0,0.0,20.0,0.0,88.16,20.0,0.0,0.0
15,Alissa Johnson,3,220.88,55.88,0.0,0.0,0.0,0.0,75.0,75.0,0.0,0.0
16,Vivian Johnson,3,218.65,0.0,20.0,0.0,92.86,0.0,90.79,0.0,0.0,0.0
17,Elena Cattaneo,3,197.47,0.0,0.0,0.0,0.0,78.26,84.21,20.0,0.0,0.0
18,Kitty Earl-Torniainen,5,193.29,98.29,20.0,0.0,0.0,20.0,0.0,20.0,0.0,20.0
19,Julie Rieth,3,182.98,44.29,82.97,0.0,0.0,0.0,0.0,40.71,0.0,0.0
20,Daisy Richmond,4,182.32,47.06,20.0,0.0,0.0,0.0,80.26,20.0,0.0,0.0
21,Michelle Hatch,3,174.61,67.65,0.0,35.71,0.0,0.0,0.0,0.0,0.0,56.25
22,Rebecca Kolstad,3,170.1,58.82,0.0,0.0,0.0,39.13,0.0,57.14,0.0,0.0
23,Sara Zoellick,3,158.83,0.0,36.99,0.0,0.0,0.0,86.84,20.0,0.0,0.0
24,Marybeth Tuttle,3,155.0,0.0,0.0,100.0,0.0,20.0,0.0,20.0,0.0,0.0
25,Adrienne Keller,2,144.25,52.94,0.0,0.0,0.0,91.3,0.0,0.0,0.0,0.0
26,Erika Saveraid,3,139.95,0.0,20.0,0.0,0.0,0.0,84.95,20.0,0.0,0.0
27,Brianna Bischof,2,139.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.92,62.5
28,Ingrid Leask,3,134.44,0.0,20.0,0.0,0.0,0.0,31.58,67.86,0.0,0.0
29,Ketzel Levens,3,133.57,0.0,0.0,20.0,78.57,20.0,0.0,0.0,0.0,0.0
30,Daria Terenteva,3,127.8,44.12,0.0,0.0,0.0,0.0,48.68,20.0,0.0,0.0
31,Kaitsy Baker,2,121.43,50.0,0.0,71.43,0.0,0.0,0.0,0.0,0.0,0.0
32,Margie Nelson,2,117.86,0.0,0.0,0.0,0.0,0.0,20.0,97.86,0.0,0.0
33,Kira Stolen,3,117.85,0.0,0.0,0.0,0.0,20.0,0.0,20.0,62.85,0.0
34,Maev Storbakken,2,116.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.23,46.88
35,Taylor Ellison,3,115.87,0.0,20.0,0.0,0.0,60.87,0.0,0.0,0.0,20.0
36,Stephanie Lewis,2,113.42,0.0,0.0,0.0,0.0,0.0,93.42,20.0,0.0,0.0
